Learning Activity,Users Who Completed,Viewers,Average Study Time,Total Study Time,Average Score
Zoom,112,118,02:35h,15d 09:04h,-
Introduction to Version control,124,125,00:16h,1d 14:22h,-
GIT,109,109,00:05h,11:51h,-
Get started with VC and GIT,104,105,00:19h,1d 20:28h,-
version control,99,100,00:14h,1d 10:02h,-
Get setup and installation:,104,105,00:12h,1d 04:38h,-
Creating and working with local repository,101,102,00:25h,2d 11:27h,-
assessment1,86,106,00:15h,1d 11:11h,-
local and remote repository overview,95,95,00:18h,1d 18:12h,-
working with local and remote repository - 1,80,81,00:23h,2d 06:52h,-
working with local and remote repository - 2,78,78,00:07h,16:55h,-
assessment2,73,85,00:09h,22:16h,-
branching,81,82,00:06h,14:57h,-
branching,78,79,00:08h,18:05h,-
assessment3,60,75,00:10h,23:30h,-
working with github desktop,67,69,00:10h,1d 00:19h,-
downloading eclipse,56,58,00:01h,02:37h,-
working with eclipse - 1,51,52,00:07h,15:34h,-
working with eclipse - 2,45,46,00:01h,03:11h,-
generating token,43,45,00:01h,01:11h,-
Certificate of completion,43,52,00:01h,01:29h,-
